"Id","SalePrice"
1461,117550.268420888
1462,173822.824676861
1463,189938.544472325
1464,201830.644347869
1465,188164.793795786
1466,173736.413751312
1467,184979.603523561
1468,165954.912594949
1469,196436.96038651
1470,127122.225059917
1471,188356.56558718
1472,100815.218137848
1473,100640.7977208
1474,141548.702333801
1475,110640.329890392
1476,360415.130685848
1477,254791.93645229
1478,284056.724317953
1479,287525.134340711
1480,465597.035307939
1481,328590.393094561
1482,205769.924381409
1483,182099.821546838
1484,164972.764947143
1485,182706.251901223
1486,195109.701262278
1487,321992.882845467
1488,240712.912210284
1489,202895.364197593
1490,248193.244087263
1491,195307.297011835
1492,88989.0559612169
1493,194789.54682537
1494,283300.287974598
1495,280239.272835187
1496,244438.119118083
1497,181938.830403738
1498,167983.633982369
1499,163097.561765605
1500,158828.601353754
1501,193025.946977015
1502,151028.811099361
1503,284792.507828694
1504,238324.787360598
1505,228112.831161799
1506,194266.725002619
1507,258841.008508019
1508,206100.401861454
1509,162232.104385061
1510,145010.833676194
1511,148561.767857799
1512,171976.290570777
1513,151363.441085906
1514,164035.332961924
1515,204675.134295319
1516,156893.265866715
1517,175957.192118032
1518,119654.88281736
1519,229618.371274305
1520,127667.197891939
1521,134150.776571584
1522,173295.224645104
1523,120191.033324201
1524,127915.866958383
1525,126951.681408968
1526,109102.355257877
1527,110847.156357362
1528,138936.989196316
1529,149731.472143817
1530,193817.606563269
1531,118131.119905976
1532,92847.1302655353
1533,149202.820202444
1534,122462.265051176
1535,149796.546847912
1536,110006.816186498
1537,50536.1632694538
1538,170117.904396113
1539,198805.767489129
1540,101334.749709675
1541,139267.600685776
1542,141288.921836872
1543,197019.797787044
1544,85472.7927454195
1545,120505.187662916
1546,133163.318034916
1547,126796.528733265
1548,136819.085905735
1549,116959.395092953
1550,133335.743543431
1551,107414.501259059
1552,149683.059477634
1553,140171.005178925
1554,120116.725768939
1555,155430.879359545
1556,92760.0066202756
1557,95843.0711712862
1558,105895.737232476
1559,78111.3418840585
1560,120766.834155471
1561,134630.55100239
1562,125760.20828761
1563,124545.20357966
1564,157637.350500136
1565,147312.142569338
1566,248766.953216948
1567,78766.7519075192
1568,233225.072786319
1569,137924.965462747
1570,131221.360430305
1571,107865.8472377
1572,144035.937989738
1573,255379.938810075
1574,127034.837627834
1575,229219.092962005
1576,254675.227632775
1577,182416.344849084
1578,154018.107385564
1579,144672.780143595
1580,193609.904941616
1581,159723.742979997
1582,125178.448563067
1583,313661.068045
1584,214982.664083962
1585,141057.557276525
1586,69644.0443985384
1587,103407.032962181
1588,157131.965341444
1589,100932.830840975
1590,130792.001041332
1591,90427.1358532962
1592,118198.750179244
1593,125858.58793586
1594,150570.323359341
1595,96337.2720424239
1596,219922.913516144
