"id","cost","value"
1,"cost1",0.132760898338098
2,"cost1",0.134498962891027
3,"cost1",0.123305907683041
4,"cost1",0.113109170095154
5,"cost1",0.123611479611567
6,"cost1",0.128537584924514
7,"cost1",0.129535946181275
8,"cost1",0.124647490422097
9,"cost1",0.137688421700304
10,"cost1",0.140786570487939
11,"cost1",0.124401053896009
12,"cost1",0.124305966643685
13,"cost1",0.134685571245628
14,"cost1",0.110567193301281
15,"cost1",0.131025270991933
16,"cost1",0.122528509850037
17,"cost1",0.134979137089252
18,"cost1",0.115735200116103
19,"cost1",0.118506038676577
20,"cost1",0.143313246633395
21,"cost1",0.136689295827336
22,"cost1",0.126015028218754
23,"cost1",0.126849565838498
24,"cost1",0.121910814902046
25,"cost1",0.143281906821972
26,"cost1",0.125604277348295
27,"cost1",0.127118326347275
28,"cost1",0.1368274910636
29,"cost1",0.130127403366167
30,"cost1",0.129412465678872
31,"cost1",0.113098422373032
32,"cost1",0.114599151249333
33,"cost1",0.126290622895963
34,"cost1",0.133942895265128
35,"cost1",0.107013416971776
36,"cost1",0.129045099816705
37,"cost1",0.145241328071902
38,"cost1",0.136173387382275
39,"cost1",0.124136045464287
40,"cost1",0.158224895219413
41,"cost1",0.134473301011749
42,"cost1",0.123494581247071
43,"cost1",0.147804693792842
44,"cost1",0.119322329562171
45,"cost1",0.146270032255512
46,"cost1",0.116948589808653
47,"cost1",0.118463340400516
48,"cost1",0.151035425911397
49,"cost1",0.130932490840681
50,"cost1",0.142805747910005
51,"cost1",0.13605033017238
52,"cost1",0.127403427116643
53,"cost1",0.142387085114717
54,"cost1",0.141196746728565
55,"cost1",0.154019690600522
56,"cost1",0.12680552031874
57,"cost1",0.138764964005198
58,"cost1",0.130537889672427
59,"cost1",0.133369849053958
60,"cost1",0.126779057057802
61,"cost1",0.129744967753102
62,"cost1",0.112411365607489
63,"cost1",0.136584554471666
64,"cost1",0.123267425177361
65,"cost1",0.124384631785428
66,"cost1",0.135039104854385
67,"cost1",0.123410018630756
68,"cost1",0.126256025503909
69,"cost1",0.132148767204914
70,"cost1",0.136496832313245
71,"cost1",0.140291708823849
72,"cost1",0.132757692876344
73,"cost1",0.115558728171136
74,"cost1",0.131605802787606
75,"cost1",0.162116807066287
76,"cost1",0.128975617078304
77,"cost1",0.119779490450595
78,"cost1",0.129085334861499
79,"cost1",0.11983685522026
80,"cost1",0.122797978227655
81,"cost1",0.138046090333599
82,"cost1",0.117435943432561
83,"cost1",0.1290227246581
84,"cost1",0.122884730770113
85,"cost1",0.137304387779364
86,"cost1",0.118846135174861
87,"cost1",0.136598389414099
88,"cost1",0.125711072421323
89,"cost1",0.141185164614507
90,"cost1",0.122136509798696
91,"cost1",0.130654186841922
92,"cost1",0.13115161167093
93,"cost1",0.140598505282929
94,"cost1",0.135580133623692
95,"cost1",0.125149594991447
96,"cost1",0.14087689425348
97,"cost1",0.117220913651662
98,"cost1",0.12962943540358
99,"cost1",0.143650221698976
100,"cost1",0.114504821172355
101,"cost1",0.122984466755471
102,"cost1",0.127949613969497
103,"cost1",0.135914472252055
104,"cost1",0.13722025298051
105,"cost1",0.114937983399678
106,"cost1",0.111898631494446
107,"cost1",0.141614907302243
108,"cost1",0.125650592658825
109,"cost1",0.140386046995529
110,"cost1",0.113955020193917
111,"cost1",0.1433096175426
112,"cost1",0.118031140969163
113,"cost1",0.114263663491305
114,"cost1",0.129686443511664
115,"cost1",0.116778860137275
116,"cost1",0.135446192062704
117,"cost1",0.123081160180917
118,"cost1",0.135476641642067
119,"cost1",0.105300139798818
120,"cost1",0.119863934578902
121,"cost1",0.121329947316618
122,"cost1",0.131402605803052
123,"cost1",0.110263737981448
124,"cost1",0.107907592225006
125,"cost1",0.129733124654985
126,"cost1",0.144125505372531
127,"cost1",0.13729754307158
128,"cost1",0.131743014204494
129,"cost1",0.13894273085253
130,"cost1",0.152656899275952
131,"cost1",0.132088819280349
132,"cost1",0.104067919787114
133,"cost1",0.134190373588776
134,"cost1",0.128209185365125
135,"cost1",0.131783110721515
136,"cost1",0.137318707564431
137,"cost1",0.126897837987311
138,"cost1",0.139696740470583
139,"cost1",0.128733525404118
140,"cost1",0.120848029739857
141,"cost1",0.140415743358312
142,"cost1",0.124921633936547
143,"cost1",0.148409646245838
144,"cost1",0.138953132215846
145,"cost1",0.135491390102493
146,"cost1",0.128696068567017
147,"cost1",0.118936616629281
148,"cost1",0.125083972149115
149,"cost1",0.119010044725587
150,"cost1",0.113011776466669
151,"cost1",0.120314966060773
152,"cost1",0.112894284717365
153,"cost1",0.124360873920583
154,"cost1",0.119298460749655
155,"cost1",0.139127419896315
156,"cost1",0.12373369512602
157,"cost1",0.122406168082857
158,"cost1",0.127346004409133
159,"cost1",0.139921365031917
160,"cost1",0.133259057708264
161,"cost1",0.123310618117306
162,"cost1",0.113852263910616
163,"cost1",0.147075184515982
164,"cost1",0.119952988100693
165,"cost1",0.125034733460314
166,"cost1",0.121501277834366
167,"cost1",0.141740586445311
168,"cost1",0.118224804562891
169,"cost1",0.126832616403889
170,"cost1",0.140279934994239
171,"cost1",0.141934920515031
172,"cost1",0.130589355691935
173,"cost1",0.139488282331892
174,"cost1",0.119262749092171
175,"cost1",0.123803209970877
176,"cost1",0.128702832541541
177,"cost1",0.136578578981898
178,"cost1",0.135766321358908
179,"cost1",0.109029001116919
180,"cost1",0.127578592205862
181,"cost1",0.13367646954248
182,"cost1",0.122151966819214
183,"cost1",0.126053030772343
184,"cost1",0.122252217479471
185,"cost1",0.138001585039944
186,"cost1",0.101150329222185
187,"cost1",0.142232974199638
188,"cost1",0.128175947602909
189,"cost1",0.122170094002409
190,"cost1",0.125338140333157
191,"cost1",0.104686971844053
192,"cost1",0.130760181425072
193,"cost1",0.135612697490557
194,"cost1",0.110809872634425
195,"cost1",0.127539073351899
196,"cost1",0.123733100366756
197,"cost1",0.13145845139253
198,"cost1",0.136422992019126
199,"cost1",0.117983269021841
200,"cost1",0.128095857856532
201,"cost1",0.136087537338532
202,"cost1",0.127031521462033
203,"cost1",0.133870393118655
204,"cost1",0.117163969784139
205,"cost1",0.14037113096948
206,"cost1",0.113699551557965
207,"cost1",0.137048324336458
208,"cost1",0.126334635674939
209,"cost1",0.12355999111717
210,"cost1",0.13585587358038
211,"cost1",0.125737146680463
212,"cost1",0.132132885892179
213,"cost1",0.130525536138528
214,"cost1",0.133292681563595
215,"cost1",0.127101650585324
216,"cost1",0.122424625138662
217,"cost1",0.140466453181934
218,"cost1",0.145199397273762
219,"cost1",0.122760695043557
220,"cost1",0.133656500663988
221,"cost1",0.128210358444826
222,"cost1",0.155416431782923
223,"cost1",0.118758097511012
224,"cost1",0.13016364998953
225,"cost1",0.133019320664866
226,"cost1",0.137751883164241
227,"cost1",0.138313558380402
228,"cost1",0.127531030244318
229,"cost1",0.137868950646219
230,"cost1",0.127235880381646
231,"cost1",0.132627280718567
232,"cost1",0.123860436801126
233,"cost1",0.131463942279019
234,"cost1",0.11110566736778
235,"cost1",0.112897166393956
236,"cost1",0.146520453286691
237,"cost1",0.115626493154815
238,"cost1",0.121699130467898
239,"cost1",0.122076121029394
240,"cost1",0.13409805452523
241,"cost1",0.139077176345926
242,"cost1",0.135020687860017
243,"cost1",0.127977728769764
244,"cost1",0.118401134451961
245,"cost1",0.136686858245945
246,"cost1",0.117404631860241
247,"cost1",0.151291422766619
248,"cost1",0.141095430684421
249,"cost1",0.122030718031016
250,"cost1",0.14176960087457
251,"cost1",0.13369223433289
252,"cost1",0.11838796942591
253,"cost1",0.128167686311684
254,"cost1",0.123882572361932
255,"cost1",0.142746393889919
256,"cost1",0.140709140256089
257,"cost1",0.127022038302021
258,"cost1",0.117156882627231
259,"cost1",0.131058878133619
260,"cost1",0.124780837439861
261,"cost1",0.125106776821278
262,"cost1",0.140191964146279
263,"cost1",0.119315082698838
264,"cost1",0.128301913273444
265,"cost1",0.111720657492203
266,"cost1",0.133981652052951
267,"cost1",0.130145667866328
268,"cost1",0.107432520002491
269,"cost1",0.117530460522441
270,"cost1",0.118677741896385
271,"cost1",0.14169424348001
272,"cost1",0.12433728785213
273,"cost1",0.135635797018663
274,"cost1",0.118279083329984
275,"cost1",0.114806091923622
276,"cost1",0.132407916236673
277,"cost1",0.143007362183968
278,"cost1",0.128183811749887
279,"cost1",0.128523486347304
280,"cost1",0.13121292453718
281,"cost1",0.128531772919018
282,"cost1",0.131863769844475
283,"cost1",0.109183668362329
284,"cost1",0.109811952824267
285,"cost1",0.129340112475878
286,"cost1",0.12752193019949
287,"cost1",0.128448334865559
288,"cost1",0.125915393574327
289,"cost1",0.116469029783459
290,"cost1",0.12656463651986
291,"cost1",0.116881604160557
292,"cost1",0.127474189735772
293,"cost1",0.118047470665155
294,"cost1",0.127104302945452
295,"cost1",0.10977842391047
296,"cost1",0.140109118925041
297,"cost1",0.126334223682765
298,"cost1",0.122263881514545
299,"cost1",0.128884269159488
300,"cost1",0.115892228290739
301,"cost1",0.137778667351073
302,"cost1",0.121290608401221
303,"cost1",0.132971600816564
304,"cost1",0.120775132231894
305,"cost1",0.120799762422252
306,"cost1",0.132828746547242
307,"cost1",0.105292477365665
308,"cost1",0.144980335747644
309,"cost1",0.13514103115212
310,"cost1",0.149733338115925
311,"cost1",0.133811781748199
312,"cost1",0.123077301859724
313,"cost1",0.129973230482297
314,"cost1",0.158321078087523
315,"cost1",0.130788893743566
316,"cost1",0.129343140502816
317,"cost1",0.12115171071797
318,"cost1",0.132997728781185
319,"cost1",0.149897887031867
320,"cost1",0.132007963016027
321,"cost1",0.127743677580811
322,"cost1",0.148501884655819
323,"cost1",0.130292785247205
324,"cost1",0.136443490281423
325,"cost1",0.119008351548886
326,"cost1",0.136182424495878
327,"cost1",0.11695907880819
328,"cost1",0.133135596644839
329,"cost1",0.139020640339727
330,"cost1",0.124128485393876
331,"cost1",0.118301506326744
332,"cost1",0.130721748256868
333,"cost1",0.132072639782375
334,"cost1",0.140225299273668
335,"cost1",0.133449110516823
336,"cost1",0.133575501365208
337,"cost1",0.119581479983478
338,"cost1",0.142559211395401
339,"cost1",0.130235356539372
340,"cost1",0.124092160158304
341,"cost1",0.114657277405453
342,"cost1",0.132952745283675
343,"cost1",0.120582738076166
344,"cost1",0.130777040369432
345,"cost1",0.118413448856035
346,"cost1",0.130079578432171
347,"cost1",0.145587402983534
348,"cost1",0.134181701856711
349,"cost1",0.137190556236662
350,"cost1",0.128037102980038
351,"cost1",0.117603819548659
352,"cost1",0.134493210949966
353,"cost1",0.127139418329822
354,"cost1",0.137033997370225
355,"cost1",0.144608014791875
356,"cost1",0.109683121684914
357,"cost1",0.126054189492036
358,"cost1",0.151303470991052
359,"cost1",0.137242503622585
360,"cost1",0.126279871110693
361,"cost1",0.139307261412085
362,"cost1",0.115711950516252
363,"cost1",0.143636967253516
364,"cost1",0.145692508523738
365,"cost1",0.127798481886528
366,"cost1",0.120345481626348
367,"cost1",0.11969347345295
368,"cost1",0.12250469377921
369,"cost1",0.120123244161198
370,"cost1",0.12309953892645
371,"cost1",0.144967030841444
372,"cost1",0.126445503068873
373,"cost1",0.129488940572066
374,"cost1",0.139448140865191
375,"cost1",0.118694315429328
376,"cost1",0.130054341212219
377,"cost1",0.113476781821012
378,"cost1",0.137849154982066
379,"cost1",0.132428738726568
380,"cost1",0.123187647308435
381,"cost1",0.129651230178628
382,"cost1",0.120056462572381
383,"cost1",0.133384814507047
384,"cost1",0.141800155699336
385,"cost1",0.132513432111989
386,"cost1",0.139526188538556
387,"cost1",0.144259327777761
388,"cost1",0.13141978338835
389,"cost1",0.135496734851518
390,"cost1",0.124507120944916
391,"cost1",0.137858187711854
392,"cost1",0.129467111626548
393,"cost1",0.135039985662732
394,"cost1",0.122840403109615
395,"cost1",0.123191335408706
396,"cost1",0.157784875653417
397,"cost1",0.117619879586242
398,"cost1",0.130643862071018
399,"cost1",0.121115846745513
400,"cost1",0.142090296024269
401,"cost1",0.141023584012487
402,"cost1",0.114059870638634
403,"cost1",0.109818371392408
404,"cost1",0.159572899957907
405,"cost1",0.118423985100369
406,"cost1",0.121181136655619
407,"cost1",0.118623781324395
408,"cost1",0.130456979311751
409,"cost1",0.123840968556488
410,"cost1",0.109654092924461
411,"cost1",0.118130854549977
412,"cost1",0.131108216897446
413,"cost1",0.125957329995249
414,"cost1",0.128743243420673
415,"cost1",0.115367709390386
416,"cost1",0.135076733430076
417,"cost1",0.137518989494412
418,"cost1",0.119958723767112
419,"cost1",0.129579285982264
420,"cost1",0.125650117990549
421,"cost1",0.123007466993749
422,"cost1",0.118970800234778
423,"cost1",0.128699732800936
424,"cost1",0.145958975539654
